,Zipcode,Zillow_value_per_Zip_x,Unnamed: 0,Zillow_value_per_Zip_y,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice,PriceTier
151,85248,559557.5863,147,559557.5863,AZ,Sun Lakes,S Cloverland Dr,5,4.5,4460,493.2735426,1.2596,33.80849,-111.95851,2200000,between 2 and 2.5
152,85249,662463.1264,154,662463.1264,AZ,Chandler,E Victoria St,3,2.0,1056,132.5757576,0.164141414,32.678486,-114.63007,140000,less than 250
153,85249,662463.1264,153,662463.1264,AZ,Chandler,E Sagittarius Ct,1,1.0,1104,249.0942029,0.998025712,34.42246,-110.54745,275000,between 251 and 300
154,85249,662463.1264,152,662463.1264,AZ,Chandler,E Aquarius Pl,4,3.5,3747,393.6482519,1.303,33.83899,-112.13298,1475000,between 1.25 and 1.5
155,85251,517409.9983,155,517409.9983,AZ,Scottsdale,N 77th Pl,5,4.5,4704,637.7444728,0.471395776,33.708584,-111.83339,2999950,between 2.51 and 3
156,85253,2735122.935,156,2735122.935,AZ,Paradise Valley,E Rovey Ave,4,2.0,1938,257.4819401,0.165541781,33.584312,-112.164696,499000,between 451 and 500
157,85253,2735122.935,157,2735122.935,AZ,Paradise Valley,E Caron Cir,3,2.5,1832,393.0076419,0.088544536,33.644302,-111.96971,719990,between 701 and 750
158,85254,834171.9132,161,834171.9132,AZ,Scottsdale,N 51st St,3,2.0,1501,233.1778814,0.215587695,33.659363,-112.09221,350000,between 301 and 350
159,85254,834171.9132,163,834171.9132,AZ,Scottsdale,E Winchcomb Dr,4,2.0,1832,230.8351528,0.113636364,33.7122,-112.37266,422890,between 401 and 450
160,85254,834171.9132,162,834171.9132,AZ,Scottsdale,E Sheena Dr,3,2.5,1893,224.5113576,0.103305785,33.237823,-111.60699,425000,between 401 and 450
161,85254,834171.9132,158,834171.9132,AZ,Scottsdale,N 57th Way,2,2.0,1765,243.0594901,0.215679522,33.634087,-112.293335,429000,between 401 and 450
162,85254,834171.9132,159,834171.9132,AZ,Scottsdale,E Helena Dr,4,3.0,2049,213.7579307,0.113636364,33.7122,-112.37281,437990,between 401 and 450
163,85254,834171.9132,160,834171.9132,AZ,Scottsdale,E Campo Bello Dr,5,3.0,2426,185.4905194,0.165197429,33.49029,-112.28379,450000,between 401 and 450
164,85254,834171.9132,164,834171.9132,AZ,Scottsdale,N 64th St,4,3.5,3022,248.1469226,0.262213039,33.51188,-112.37109,749900,between 701 and 750
165,85255,1186977.339,166,1186977.339,AZ,Scottsdale,N 98th Way,4,2.0,1200,233.3333333,0.217860422,33.6347,-112.33314,280000,between 251 and 300
166,85255,1186977.339,168,1186977.339,AZ,Scottsdale,E Juan Tabo Rd,3,2.0,1346,291.9687964,0.103305785,33.714703,-112.40496,392990,between 351 and 400
167,85255,1186977.339,170,1186977.339,AZ,Scottsdale,E San Fernando Dr,3,3.0,1663,399.8797354,0.07,35.1844,-111.68537,665000,between 651 and 700
168,85255,1186977.339,171,1186977.339,AZ,Scottsdale,N 83rd Pl,4,3.0,2955,287.6446701,1.141,33.482315,-112.47477,849990,between 801 and 850
169,85255,1186977.339,165,1186977.339,AZ,Scottsdale,E Happy Valley Rd UNIT 401,5,2.5,3334,254.9490102,0.243089991,33.33344,-112.00019,850000,between 801 and 850
170,85255,1186977.339,167,1186977.339,AZ,Scottsdale,N 73rd St,4,4.5,3457,267.5701475,0.263980716,33.33524,-111.61785,924990,between 901 and million
171,85255,1186977.339,169,1186977.339,AZ,Scottsdale,E Rita Dr,4,3.0,3580,259.4972067,0.38,34.250565,-111.33664,929000,between 901 and million
172,85257,543899.0834,173,543899.0834,AZ,Scottsdale,N 87th Way,3,2.0,1560,279.7884615,0.103305785,33.7136,-112.40345,436470,between 401 and 450
173,85257,543899.0834,172,543899.0834,AZ,Scottsdale,E Moreland St,5,2.5,2424,204.2079208,0.148966942,33.04272,-112.05287,495000,between 451 and 500
174,85257,543899.0834,174,543899.0834,AZ,Scottsdale,E Oak St,2,2.0,2137,256.2938699,0.22187787,33.65299,-112.38994,547700,between 501 and 550
175,85258,807810.917,177,807810.917,AZ,Scottsdale,E Del Tornasol Dr,3,2.0,1350,278.7333333,0.107323232,33.41149,-112.24976,376290,between 351 and 400
176,85258,807810.917,176,807810.917,AZ,Scottsdale,N Willowrain Ct,3,3.0,1980,359.0858586,0.086088154,33.644096,-111.97004,710990,between 701 and 750
177,85258,807810.917,178,807810.917,AZ,Scottsdale,E Loma Ln,4,2.0,2184,503.6630037,0.384389348,33.53485,-112.06393,1100000,between a million and 1.25
