State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice
AZ,Casa Grande,E Viola St,85122,3,2,1578,316.2230672,0.122796143,33.56486,-112.27933,499000
AZ,Florence,N Presidio Dr,85132,2,2,1660,286.1445783,0.115863177,33.241726,-111.58238,475000
AZ,Florence,E Aster Ln,85132,3,2,1780,269.6067416,0.166023875,33.21396,-111.57169,479900
AZ,Florence,W Sandpiper Way,85132,4,2,2580,232.5581395,0.505601469,34.389248,-111.45537,600000
AZ,Florence,E Marigold Ln,85132,3,2,1002,244.510978,0.114738292,33.396057,-110.7806,245000
AZ,Florence,W Victory Way,85132,4,2,1540,324.025974,0.175688705,33.47679,-112.05992,499000
AZ,Maricopa,N Palo Rojo Rd,85138,3,3,2501,499.80008,0.171671258,33.563435,-111.92014,1250000
AZ,Maricopa,W Mallard Rd,85138,4,3,2756,798.2583454,0.811662075,33.59925,-111.9064,2200000
AZ,Maricopa,N Ventana Ln,85138,3,2,2436,359.1954023,0.283310376,33.601654,-111.72924,875000
AZ,Maricopa,W Almira Ct,85138,4,2,2310,238.0519481,0.201584022,33.63273,-112.24758,549900
AZ,Maricopa,W Santa Fe St,85138,3,2.5,1511,264.6591661,0.10530303,33.702038,-112.13972,399900
AZ,Maricopa,N Karsten Dr,85138,7,3,2232,353.6738351,0.333746556,33.64685,-112.09028,789400
AZ,Maricopa,W Zion Rd,85139,5,3.5,3414,527.2407733,1.4665,33.765,-111.89169,1800000
AZ,Maricopa,W Alamendras St,85139,4,2,2080,297.5961538,0.23292011,33.69241,-112.21859,619000
AZ,Queen Creek,N Kennedy Dr,85140,3,2,2123,259.0673575,0.203191001,33.225597,-111.84902,550000
AZ,Queen Creek,N Kaden Ct,85140,3,2,1300,288.4615385,0.101010101,33.412838,-111.59596,375000
AZ,San Tan Valley,N Bristlecone Dr,85140,3,2,2001,299.850075,1.0239,33.488808,-112.48122,600000
AZ,San Tan Valley,W Tallow Tree Ave,85140,4,3,3038,217.2481896,0.165289256,33.74739,-112.2097,660000
AZ,San Tan Valley,E Andalusian Loop,85140,4,3.5,2792,626.4326648,0.207759412,33.645287,-111.8691,1749000
AZ,San Tan Valley,E Baker Dr,85140,4,3.5,2938,408.4411164,0.525688705,33.364815,-112.04591,1200000
AZ,San Tan Valley,E Bradstock Way,85140,4,3.5,3411,583.4066256,0.291391185,33.70667,-111.92144,1990000
AZ,San Tan Valley,Weston Ln,85140,4,3,2118,311.5675165,0.143526171,33.764965,-112.11341,659900
AZ,San Tan Valley,E Inca Ln,85140,4,2,2088,246.6475096,0.154958678,33.513382,-112.26263,515000
AZ,Queen Creek,E Via Del Palo,85142,4,2,1840,225.5434783,0.123966942,33.394318,-112.124115,415000
AZ,Queen Creek,E Mockingbird Dr,85142,4,3,3243,354.5790934,0.232438017,33.222008,-111.80286,1149900
AZ,San Tan Valley,W Phillips Rd,85142,3,2,1401,289.0792291,0.154706152,33.518612,-112.48036,405000
AZ,Queen Creek,E Marsh Rd,85142,4,3,2324,300.7745267,1.75,34.29403,-110.176636,699000
AZ,Queen Creek,E Escalante Rd,85142,3,2,1664,306.4903846,0.17,32.216904,-111.0376,510000
